"id","name","meaning","length"
"1","culture","문화, 교양","7"
"2","experience","경험","10"
"3","education","교육","9"
"4","symbol","상징","6"
"5","effect","결과, 영향, 효과","6"
"6","liberty","자유","7"
"7","affair","사건, 일","6"
"8","comfort","안락, 위안","7"
"9","tradition","전통, 전설","9"
"10","subject","학과, 주제, 주어","7"
"11","object","사물, 목적, [동] 반대하다","6"
"12","source","출처, 근원","6"
"13","revolution","혁명","10"
"14","pollution","오염","9"
"15","system","조직, 체계, 지도","6"
"16","triumph","승리","7"
"17","respect","존경 [동] 존경하다","7"
"18","communication","전달, 교통","13"
"19","foundation","기초","10"
"20","glory","영광","5"
"21","situation","위치, 사태","9"
"22","competition","경쟁","11"
"23","prairie","대초원","7"
"24","effort","노력","6"
"25","section","부분, 구역","7"
"26","rein","고삐","4"
"27","solution","해결, 용해","8"
"28","honor","명예/경의, [동] 존경하다","5"
"29","unity","통일/일치","5"
"30","population","인구","10"
"31","direction","방향, 지시","9"
"32","dialog","대화","6"
"33","republic","공화국","8"
"34","method","방법","6"
"35","increase","증가, [동]증가하다","8"
"36","decrease","감소, [동]감소하다","8"
"37","amount","양, 액수, 총계","6"
"38","ancestor","조상, 선조","8"
"39","voyage","항해","6"
"40","sculpture","조각(품)","9"
"41","instrument","기계, 기구, 도구","10"
"42","figure","숫자, 계산, 모습, 인물","6"
"43","activity","활동","8"
"44","cause","원인, 이유","5"
"45","worth","가치, ~에 가치가 있는","5"
"46","accident","사고, 뜻밖의 사건","8"
"47","adventure","모험","9"
"48","view","경치, 의견","4"
"49","relative","친척, 관계가 있는","8"
"50","superstition","미신","12"
"51","habit","습관, 버릇","5"
"52","wealth","재산, 부","6"
"53","treasure","보물","8"
"54","universe","우주, 전 세계","8"
"55","adult","성인, 성인의","5"
"56","feast","향연, 잔치","5"
"57","resources","자원, 수단","9"
"58","ruin","파멸","4"
"59","monument","기념비, 기념물","8"
"60","information","정보, 지식, 통지","11"
"61","appetite","식욕","8"
"62","stethoscope","청진기","11"
"63","mystery","신비, 불가사의","7"
"64","thermometer","온도계","11"
"65","burden","무거운 짐, 짐을 지우다","6"
"66","series","연속, 시리즈","6"
"67","oath","맹세, 선서","4"
"68","appointment","임명, 약속","11"
"69","clue","실마리, 단서","4"
"70","debt","은혜, 빚","4"
"71","hydrogen","수소","8"
"72","control","통제, 지배, 통제하다, 지배하다","7"
"73","uniform","제복, 한 모양의","7"
"74","design","계획, 설계, 계획하다, 디자인 하다","6"
"75","damage","손해, 손상","6"
"76","custom","습관, 풍습","6"
"77","traffic","교통","7"
"78","sophomore","학년생","9"
"79","temperature","온도, 체온","11"
"80","limit","제한하다, 한계, 제한","5"
"81","statue","조각상","6"
"82","furniture","가구","9"
"83","parade","행렬","6"
"84","public","공중(사회), 공공의, 공중의","6"
"85","pilgrim","순례자","7"
"86","greeting","인사, 축하","8"
"87","language","언어","8"
"88","opinion","의견","7"
"89","athlete","운동선수","7"
"90","supply","공급, 공급하다","6"
"91","surface","표면","7"
"92","electricity","전기","11"
"93","order","순서, 명령","5"
"94","spirit","정신","6"
"95","purpose","목적","7"
"96","promise","가망, 전망, 약속","7"
"97","project","계획, 계획하다","7"
