1,culture,"문화, 교양"
2,experience,경험
3,education,교육
4,symbol,상징
5,effect,"결과, 영향, 효과"
6,liberty,자유
7,affair,"사건, 일"
8,comfort,"안락, 위안"
9,tradition,"전통, 전설"
10,subject,"학과, 주제, 주어"
11,object,"사물, 목적, [동] 반대하다"
12,source,"출처, 근원"
13,revolution,혁명
14,pollution,오염
15,system,"조직, 체계, 지도"
16,triumph,승리
17,respect,존경 [동] 존경하다
18,communication,"전달, 교통"
19,foundation,기초
20,glory,영광
21,situation,"위치, 사태"
22,competition,경쟁
23,prairie,대초원
24,effort,노력
25,section,"부분, 구역"
26,rein,고삐
27,solution,"해결, 용해"
28,honor,"명예/경의, [동] 존경하다"
29,unity,통일/일치
30,population,인구
31,direction,"방향, 지시"
32,dialog,대화
33,republic,공화국
34,method,방법
35,increase,"증가, [동]증가하다"
36,decrease,"감소, [동]감소하다"
37,amount,"양, 액수, 총계"
38,ancestor,"조상, 선조"
39,voyage,항해
40,sculpture,조각(품)
41,instrument,"기계, 기구, 도구"
42,figure,"숫자, 계산, 모습, 인물"
43,activity,활동
44,cause,"원인, 이유"
45,worth,"가치, ~에 가치가 있는"
46,accident,"사고, 뜻밖의 사건"
47,adventure,모험
48,view,"경치, 의견"
49,relative,"친척, 관계가 있는"
50,superstition,미신
51,habit,"습관, 버릇"
52,wealth,"재산, 부"
53,treasure,보물
54,universe,"우주, 전 세계"
55,adult,"성인, 성인의"
56,feast,"향연, 잔치"
57,resources,"자원, 수단"
58,ruin,파멸
59,monument,"기념비, 기념물"
60,information,"정보, 지식, 통지"
61,appetite,식욕
62,stethoscope,청진기
63,mystery,"신비, 불가사의"
64,thermometer,온도계
65,burden,"무거운 짐, 짐을 지우다"
66,series,"연속, 시리즈"
67,oath,"맹세, 선서"
68,appointment,"임명, 약속"
69,clue,"실마리, 단서"
70,debt,"은혜, 빚"
71,hydrogen,수소
72,control,"통제, 지배, 통제하다, 지배하다"
73,uniform,"제복, 한 모양의"
74,design,"계획, 설계, 계획하다, 디자인 하다"
75,damage,"손해, 손상"
76,custom,"습관, 풍습"
77,traffic,교통
78,sophomore,학년생
79,temperature,"온도, 체온"
80,limit,"제한하다, 한계, 제한"
81,statue,조각상
82,furniture,가구
83,parade,행렬
84,public,"공중(사회), 공공의, 공중의"
85,pilgrim,순례자
86,greeting,"인사, 축하"
87,language,언어
88,opinion,의견
89,athlete,운동선수
90,supply,"공급, 공급하다"
91,surface,표면
92,electricity,전기
93,order,"순서, 명령"
94,spirit,정신
95,purpose,목적
96,promise,"가망, 전망, 약속"
97,project,"계획, 계획하다"
98,government,"정부, 정치의"
99,exercise,"운동, 연습하다"
100,comparison,비교
101,interest,"이익, 흥미"
102,funeral,장례식
103,senior,"선배, 손위에"
104,junior,"후배, 손아래에"
105,democracy,"민주주의, 민주정치"
106,general,육군 장군
107,admiral,해군대장
108,edge,"날, 가장자리"
109,biology,생물학
110,danger,위험
111,advice,충고
112,practice,연습하다
113,mammal,포유동물
114,grade,학년
115,score,점수
116,pause,"중지, 멈추다"
117,pronunciation,발음
118,stress,"압박, 강조하다"
119,contest,경쟁
120,horizon,수평선
121,principal,"교장, 주요한, 長"
122,might,힘
123,trouble,"고생, 걱정하다"
124,scar,상처
125,balance,균형
126,proverb,속담
127,semester,학기
128,election,선거
129,inning,회
130,hollow,"구멍, 속이 빈"
131,degree,"도, 정도"
132,cemetery,묘지
133,relay,"교되자, 교대하다"
134,spot,지점
135,exchange,교환하다
136,merchant,상인
137,saying,격언
138,refrigerator,냉장고
139,crack,갈라진 틈
140,judge,재판관
141,slave,노예
142,settler,이주민
143,fare,요금
144,gesture,몸짓
145,planet,유성
146,type,유형
147,secretary,비서
148,devil,악마
149,scholar,학자
150,pardon,용서
151,kindergarten,유치원
152,detective,탐정
153,license,면허
154,palace,궁전
155,spade,삽
156,square,"정사각형, 광장"
157,fountainpen,만년필
158,harvest,"수확, 추수"
159,tool,도구
160,sword,칼
161,magazine,잡지
162,stadium,(육상)경기장
163,care,"걱정, 조심"
164,beauty,아름다움
165,museum,박물관
166,sentence,문장
167,memory,기억
168,delight,기쁨
169,passenger,승객
170,skill,"숙련, 솜씨"
171,journey,여행
172,ceremony,의식
173,hobby,취미
174,president,대통령
175,address,주소
176,continent,대륙
177,mankind,인간
178,patient,"환자, 참을성 있는"
179,site,부지
180,marble,대리석
181,stem,줄기
182,slip,미끄러짐
183,torch,횃불
184,composer,작곡가
185,invader,침입자
186,trick,"계략, 속임수"
187,flight,비행
188,castle,성
189,envelope,봉
190,pal,친구
191,vacation,휴가
192,desert,사막
193,event,사건
194,theater,극장
195,stage,무대
196,error,잘못
197,area,"면적, 지역"
198,base,"기초, 기초를 두다"
199,basement,지하실
200,evil,"악, 나쁜[]"
201,atom,원자
202,poet,시인
203,petal,꽃잎
204,chance,"기회, 가능성"
205,mind,마음
206,climate,"기후, 풍토"
207,suburb,교외
208,throat,목구멍
209,voice,목소리
210,valley,"골짜기, 계곡"
211,puritan,청교도
212,feather,깃털
213,amateur,아마추어
214,nation,국가
215,puzzle,수수께끼
216,riddle,수수께끼
217,rear,뒤쪽
218,battle,"전투, 싸움"
219,laundry,세탁소
220,shower,"소나기, 샤워"
221,navy,해군
222,mars,화성
223,gallery,화랑
224,guest,손님( visitor )
225,folk,사람들
226,problem,문제
227,jewel,보석
228,garage,차고
229,fault,"결점, 잘못."
230,lantern,랜턴
231,import,수입(품)
232,angle,각도
233,match,시합
234,stripe,줄무늬
235,pulse,맥박
236,powder,"가루, 화약"
237,flood,홍수
238,bush,"수풀, 덤불"
239,branch,가지
240,hero,영웅 복수형:heroes
241,heaven,하늘
242,exit,출구
243,beast,짐승(=animal)
244,century,"세기,년"
245,coeducation,남녀 공학
246,twin,쌍둥이의 한 사람
247,wound,"상처, 부상"
248,metal,금속
249,insect,곤충
250,track,"지나간 자국, 선로"
251,deserve,"받을 가치가있다,~할 만하다"
252,survive,"~보다 오래 살다, ~에서 살아남다"
253,create,창조하다
254,describe,묘사하다
255,select,"고르다, 선발한"
256,hesitate,"주저하다, 망설이다"
257,declare,선언하다
258,pretend,~인 체하다
259,struggle,"분투노력하다, 싸우다"
260,explore,탐험하다
261,astonish,놀라게 하다
262,disappoint,실망시키다
263,attract,끌다
264,celebrate,축하하다
265,explode,폭발시키다
266,include,포함하다
267,protect,보호하다
268,introduce,"소개하다, 도입하다"
269,produce,생산하다
270,chase,"쫓다, 추적"
271,scratch,"할퀴다, 긁다"
272,crash,"충돌(추락)하다, 와르르 무너지다"
273,stare,응시하다
274,gaze,"응시하다, 바라보다"
275,scare,"놀라게 하다, 놀라다"
276,grab,움켜잡다
277,guard,"지키다, 경계, 위병"
278,discuss,토론하다
279,shrug,어깨를 으쓱하다
280,sniff,냄새 맡다
281,scream,날카롭게 소리치다
282,rid,제거 하다
283,surround,둘러싸다.
