상대성이론,"시간과 공간, 질량과 에너지의 관계를 설명하는 아인슈타인 이론"
양자역학,원자와 소립자 수준에서 물질과 에너지를 설명하는 이론
뉴턴역학,물체의 운동을 설명하는 고전 물리학 법칙
중력,질량을 가진 물체 사이에 작용하는 끌어당기는 힘
전자기학,전기와 자기 현상을 연구하는 학문
열역학,에너지의 이동과 변화를 연구하는 학문
파동,진동이 공간과 시간을 따라 전달되는 현상
광학,빛의 성질과 작용을 연구하는 학문
음향학,"소리의 발생, 전달, 성질을 연구"
핵물리학,원자핵과 핵반응을 연구하는 분야
원소,더 이상 나눌 수 없는 순수한 물질
화합물,두 가지 이상의 원소가 결합한 물질
용액,용질이 용매에 녹아 혼합된 균일한 물질
산,수용액에서 수소 이온을 내는 물질
염기,수용액에서 수산화 이온을 내는 물질
중화반응,산과 염기가 반응하여 물과 소금을 생성
촉매,화학 반응 속도를 높이지만 자신은 변하지 않는 물질
전기분해,전류를 이용해 화합물을 분해하는 과정
유기화학,탄소 화합물을 중심으로 한 화학
무기화학,탄소 외 원소 화합물을 다루는 화학
세포,생명의 기본 단위
DNA,유전 정보를 담고 있는 분자
RNA,단백질 합성을 돕는 핵산
유전자,생명체의 형질을 결정하는 DNA 단위
단백질,생체 구조와 기능을 담당하는 분자
효소,생화학 반응을 촉진하는 단백질
진화론,생물 종의 기원과 변화를 설명하는 이론
생태계,생물과 환경이 상호작용하는 체계
광합성,식물이 빛을 이용해 에너지를 생산하는 과정
세포분열,세포가 두 개로 나뉘는 과정
지각,지구의 외부 단단한 층
맨틀,지각 아래 위치한 지구 내부층
핵,"지구 중심부, 내핵과 외핵으로 구성"
판구조론,지구 표면이 여러 판으로 이루어졌다는 이론
화산,지구 내부 물질이 분출되는 현상
지진,지각 변동으로 발생하는 진동
암석,광물들이 결합하여 형성된 자연물
광물,일정한 화학 조성과 결정 구조를 가진 물질
기후,장기적인 날씨 패턴
지형,지표면의 형태
행성,태양 주위를 도는 천체
위성,행성 주위를 도는 천체
별,스스로 빛을 내는 천체
은하,수십억 개의 별과 성운이 모인 집단
우주,모든 물질과 에너지가 존재하는 공간
빅뱅이론,우주의 기원을 설명하는 대폭발 이론
블랙홀,강한 중력으로 빛조차 빠져나올 수 없는 천체
초신성,별의 폭발 현상
중력파,시공간의 요동이 파동 형태로 전달되는 현상
혜성,얼음과 먼지로 이루어진 천체
컴퓨터,정보를 처리하는 전자기기
하드웨어,컴퓨터의 물리적 장치
소프트웨어,컴퓨터 프로그램과 운영 체제
프로그래밍,컴퓨터에게 명령을 내리는 과정
알고리즘,문제 해결을 위한 절차와 규칙
데이터베이스,데이터를 체계적으로 저장하고 관리
클라우드컴퓨팅,인터넷 기반 컴퓨팅 서비스
인공지능,기계가 학습하고 판단하는 기술
머신러닝,데이터 학습으로 성능 향상
딥러닝,인공신경망 기반 심층 학습
전류,전하의 흐름
전압,전류를 이동시키는 힘
저항,전류 흐름을 방해하는 정도
전력,전류와 전압의 곱
회로,전류가 흐르는 경로
트랜지스터,증폭과 스위칭이 가능한 전자소자
반도체,전도도 조절이 가능한 물질
전자기파,전기장과 자기장이 서로를 생성하며 전파되는 파동
LED,전기를 빛으로 바꾸는 발광 다이오드
태양전지,빛 에너지를 전기 에너지로 변환
인터넷,전 세계를 연결하는 네트워크
IP주소,컴퓨터를 식별하는 고유 주소
도메인,웹사이트 주소 체계
라우터,네트워크를 연결하고 데이터 전달
서버,정보를 제공하는 컴퓨터
클라이언트,서버에 요청을 보내는 컴퓨터
HTTP,웹 데이터를 주고받는 통신 규약
HTTPS,보안이 강화된 웹 통신 규약
Wi-Fi,무선 네트워크 기술
블루투스,근거리 무선 통신 기술
로봇,자동화된 기계 장치
드론,무인 항공기
자율주행차,스스로 주행하는 자동차
센서,환경 정보를 감지하는 장치
액추에이터,동작을 수행하는 장치
3D프린팅,디지털 설계를 기반으로 입체물 제작
나노기술,나노미터 수준의 물질 조작 기술
생체공학,생물학적 원리를 공학에 적용
인공장기,인간 장기를 모사한 장치
우주공학,우주 탐사 기술
태양에너지,태양빛을 이용한 에너지
풍력,바람을 이용한 에너지
수력,물의 흐름을 이용한 에너지
원자력,핵분열/핵융합을 이용한 에너지
재생에너지,지속 가능한 자연 에너지
화석연료,"석탄, 석유, 천연가스"
기후변화,장기적인 기후 패턴 변화
지구온난화,지구 평균 기온 상승 현상
탄소발자국,개인/기업의 온실가스 배출량
환경보호,자연을 보호하고 보존하는 활동
유전체학,유전체(DNA 전체)를 연구하는 학문
단백질체학,세포 내 단백질 구조와 기능 연구
대사,생물체 내 화학 반응과 에너지 전환 과정
세포막,세포를 둘러싸고 있는 반투과성 막
미토콘드리아,세포 내 에너지 생성 기관
염색체,유전 정보를 담고 있는 구조
RNA전사,DNA 정보를 RNA로 복사하는 과정
단백질 합성,세포 내에서 단백질을 만드는 과정
면역학,면역 체계와 질병 방어 연구
백신,질병 예방을 위해 면역 반응을 유도하는 물질
고분자,큰 분자로 이루어진 화합물
합금,두 가지 이상의 금속을 혼합한 물질
세라믹,점토를 굽거나 화학적 합성으로 만든 재료
나노물질,나노 크기의 구조를 가진 물질
초전도체,저온에서 전기 저항이 0이 되는 물질
자성체,자기장을 가지는 물질
반응속도,화학 반응이 진행되는 속도
평형상수,화학 반응의 평형 상태를 나타내는 수치
산화환원반응,전자를 주고받는 화학 반응
용해도,물질이 용매에 녹는 정도
양자터널링,입자가 장벽을 통과하는 현상
스핀,소립자의 고유 각운동량
페르미온,스핀이 반정수인 입자
보손,스핀이 정수인 입자
다중우주,여러 우주가 동시에 존재한다는 이론
암흑물질,눈에 보이지 않지만 중력 효과를 나타내는 물질
암흑에너지,우주 팽창을 가속하는 원인
적색편이,먼 천체의 빛이 붉게 이동하는 현상
블랙홀,강한 중력으로 빛조차 탈출할 수 없는 천체
중성자별,초고밀도 별의 일종
빅데이터,대규모 데이터 집합과 분석 기술
데이터마이닝,데이터에서 유의미한 정보를 추출
인공지능(AI),기계가 학습하고 판단하는 기술
머신러닝,데이터 학습으로 성능 향상
딥러닝,인공신경망 기반 심층 학습
자연어처리(NLP),인간 언어를 이해하고 처리하는 기술
컴퓨터비전,이미지와 영상을 분석하고 이해
블록체인,데이터를 분산 저장하고 검증하는 기술
암호화,정보를 보호하기 위해 변형하는 기술
양자컴퓨팅,양자역학 원리를 활용한 컴퓨팅
회로,전류가 흐르는 경로
저항,전류 흐름을 방해하는 정도
전류,전자의 흐름
전압,전류를 이동시키는 힘
전력,전류와 전압의 곱
커패시터,전하를 저장하는 장치
인덕터,자기장을 이용하여 전류를 저장
트랜지스터,전류 증폭과 스위칭 장치
다이오드,한 방향으로만 전류를 흐르게 하는 소자
센서,환경 정보를 감지하는 장치
로봇공학,로봇 설계와 제작을 연구하는 분야
자율로봇,스스로 판단하고 동작하는 로봇
드론,무인 항공기
센서퓨전,여러 센서 데이터를 통합하는 기술
인간-로봇 상호작용(HRI),인간과 로봇의 상호작용 연구
로봇팔,자동화 작업용 팔 구조
3D프린팅,디지털 설계를 기반으로 입체물 제작
스마트공장,자동화와 IoT 기술이 적용된 공장
인공신경망,인간 뇌 구조를 모방한 컴퓨팅 모델
제어공학,시스템을 원하는 상태로 제어하는 기술
태양광발전,햇빛을 전기로 변환
풍력발전,바람 에너지를 전기로 변환
수력발전,물의 흐름으로 전기 생산
원자력발전,핵분열 반응을 이용한 에너지 생산
지열발전,지구 내부 열을 이용한 에너지
연료전지,화학 에너지로 전기 생산
재생에너지,지속 가능한 자연 에너지
탄소중립,탄소 배출량과 흡수량을 균형
기후변화,장기적인 기후 패턴 변화
지구온난화,지구
생태계,생물과 환경의 상호작용 체계
생물다양성,"다양한 생물 종과 유전자, 생태계 존재"
멸종,특정 종이 완전히 사라지는 현상
외래종,특정 지역 외에서 유입된 생물
오염,자연 환경에 해로운 변화 발생
대기오염,공기 중 유해 물질 증가
수질오염,물 속 오염물질 증가
토양오염,땅 속 오염물질 증가
환경복원,훼손된 환경을 원래 상태로 되돌리는 활동
지속가능발전,현재와 미래를 고려한 발전 전략
인공지능,"기계가 인간처럼 사고, 학습, 판단하는 기술"
