르네상스,14~16세기 유럽에서 고대 문화를 부흥시킨 문화운동
바로크,17세기 유럽의 화려하고 역동적인 예술 양식
로코코,18세기 유럽의 섬세하고 장식적인 예술 양식
고딕,중세 유럽의 뾰족한 아치와 스테인드글라스 양식
인상주의,빛과 순간의 인상을 표현한 회화 사조
후기인상주의,인상주의 이후 색채와 형태를 실험한 미술
큐비즘,피카소와 브라크가 주도한 입체적 예술 사조
초현실주의,무의식과 꿈의 세계를 표현한 20세기 예술 운동
모더니즘,전통을 거부하고 새로운 표현을 추구한 근대 예술
포스트모더니즘,모더니즘 이후 전통과 혼합을 강조한 예술 경향
팝아트,대중문화를 예술에 도입한 현대 미술
추상표현주의,감정과 무의식을 추상적으로 표현한 예술 운동
미니멀리즘,단순함과 최소한의 요소로 표현하는 예술 사조
표현주의,강렬한 감정과 주관적 관점을 강조한 미술
상징주의,상징을 통해 사물이나 개념을 표현한 미술
다다이즘,기존의 전통적 예술을 부정하고 파격을 추구한 운동
설치미술,공간에 설치하여 감각을 자극하는 현대미술
퍼포먼스아트,행위 자체가 예술이 되는 예술 형태
미디어아트,"영상, 디지털 매체를 활용한 현대 예술"
판화,판에 새긴 그림을 찍어내는 예술
건축,공간과 구조물을 설계하고 창조하는 예술
조각,"돌, 금속, 목재 등을 조형하는 예술"
건축양식,건물의 구조와 미적 특성을 반영한 스타일
모뉴먼트,역사적·기념적 의미를 담은 기념 건축물
고전주의,그리스·로마의 고전적 미학을 따른 건축 및 예술
아르누보,곡선과 식물 문양을 강조한 19세기 말 양식
아르데코,직선적이고 기하학적 장식의 20세기 초 양식
일본식 정원,자연과 조화를 이루는 일본 전통 정원
프랑스식 정원,대칭과 질서를 강조하는 정원 양식
공공미술,공공장소에 설치되는 예술 작품
현대조각,전통 조각 형식에서 벗어난 현대적 표현
건축디자인,"건물의 미적, 기능적 설계를 포함한 예술"
랜드아트,자연 환경을 활용한 예술
조형예술,형태와 구조를 강조한 미술 활동
대리석조각,대리석을 사용한 전통 조각
국악,한국 전통 음악
클래식,서양 전통 음악
재즈,아프리카계 미국인의 음악에서 발전한 장르
블루스,미국 남부 흑인 음악에서 기원한 장르
록,전기 기타 중심의 대중음악 장르
팝,대중적 유행 음악
힙합,랩과 비트 중심의 음악과 문화
EDM,전자기기 기반 댄스 음악
오페라,"노래와 연기, 음악을 결합한 공연 예술"
뮤지컬,"노래, 연기, 춤이 결합된 공연 예술"
발레,음악과 안무를 결합한 무용 예술
관현악,여러 악기로 구성된 오케스트라 연주
합창,여러 명이 화음을 이루어 노래하는 음악
작곡,음악 작품을 창작하는 활동
